ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,total,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,Currency
PARKDEA2,,,EMBO,,DORNOCH,SUTHERLAND,IV25 3QD,United Kingdom,REF6780,CRD1010,2008-02-10T12:45:12.00000,1899-12-30T00:00:00.00000,15.5,OXFORD S/SLEEVE SHIRT,1,15.5,0,4009,T1,0.175,GBP
PARKDEA2,,,EMBO,,DORNOCH,SUTHERLAND,IV25 3QD,United Kingdom,REF6780,CRD1011,2008-02-10T12:45:40.00000,1899-12-30T00:00:00.00000,15.5,OXFORD S/SLEEVE SHIRT,1,15.5,0,4009,T1,0.175,GBP
BOURNE,,Dunure Road,AYR,,,KA7 4LB,,United Kingdom,REF6620,CRD1012,2008-03-23T12:26:25.00000,,105,,,,,,,,GBP
BOURNE,,Dunure Road,AYR,,,KA7 4LB,,United Kingdom,REF6620,CRD1013,2008-03-23T12:26:41.00000,,105,,,,,,,,GBP
BREADENS,,23 South Clerk Street,,,Edinburgh,,EH8 9JD,United Kingdom,REF9888,CRD1014,2008-07-02T14:47:50.00000,1899-12-30T00:00:00.00000,24,Next Day Delivery Medium,1,24,0,4007,T1,0.175,GBP
BAGUETTE,,9 Hide Hill,,,Berwick-upon-Tweed,,,United Kingdom,REF11005,CRD1015,2008-08-27T15:49:02.00000,,480,,,,,,,,GBP
BIGLAD,,10 MAYFIELD,SEAHOUSES,,,NORTHUMBERLAND,NE68 721 406,United Kingdom,REF11885,CRD1016,2008-10-02T10:49:21.00000,1899-12-30T00:00:00.00000,2025,"TO DEVELOP WEBSITE (ADDING IMAGES, CONTENT AND ONLINE SHOP)",1,2025,0,4002,T1,0.175,GBP
BIGLAD,,10 MAYFIELD,SEAHOUSES,,,NORTHUMBERLAND,NE68 721 406,United Kingdom,REF11885,CRD1017,2008-10-02T10:49:45.00000,1899-12-30T00:00:00.00000,2025,"TO DEVELOP WEBSITE (ADDING IMAGES, CONTENT AND ONLINE SHOP)",1,2025,0,4002,T1,0.175,GBP
,,FUEL SERVICES,,,SEAHOUSES,,,United Kingdom,REF11815,CRD1018,2008-10-03T09:15:06.00000,,150.5,,,,,,,,GBP
,,FUEL SERVICES,,,SEAHOUSES,,,United Kingdom,REF11815,CRD1019,2008-10-03T09:15:16.00000,,150.5,,,,,,,,GBP
,,FUEL SERVICES,,,SEAHOUSES,,,United Kingdom,REF11815,CRD1020,2008-10-03T09:15:26.00000,,150.5,,,,,,,,GBP
STMARYS,,BELFORD 1ST SCHOOL,BELFORD,,,,NE70 7QD,United Kingdom,REF12093,CRD1021,2008-10-11T11:33:08.00000,1899-12-30T00:00:00.00000,15,TO CREDIT THE DIFFERENCE SHOULD OF BEEN POLOSHIRTS NOT SWEATSHIRTS,12,1.25,0,4010,T0,0,GBP
,,,,,,,,United Kingdom,REF11351,CRD1022,2008-10-24T12:00:14.00000,,80,,,,,,,,GBP
